sub	ses	modality	run	task	acq	dir	filepath	AcquisitionDate	AcquisitionTime	sbref
01	01	T1w	1				/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/anat/sub-01_ses-01_run-01_T1w.nii.gz		13:36:38.960000	
01	01	T2w	1				/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/anat/sub-01_ses-01_run-01_T2w.nii.gz		15:01:37.710000	
01	01	bold	1	WC			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-WC_run-01_bold.nii.gz			
01	01	bold	2	WC			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-WC_run-02_bold.nii.gz			
01	01	bold	3	WC			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-WC_run-03_bold.nii.gz			
01	01	bold	4	WC			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-WC_run-04_bold.nii.gz			
01	01	bold	5	WC			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-WC_run-05_bold.nii.gz			
01	01	bold	6	WC			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-WC_run-06_bold.nii.gz			
01	01	bold	1	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-01_bold.nii.gz		14:04:29.487500	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-01_sbref.nii.gz
01	01	bold	2	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-02_bold.nii.gz		14:10:43.665000	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-02_sbref.nii.gz
01	01	bold	3	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-03_bold.nii.gz		14:16:47.195000	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-03_sbref.nii.gz
01	01	bold	4	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-04_bold.nii.gz		14:23:36.635000	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-04_sbref.nii.gz
01	01	bold	5	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-05_bold.nii.gz		14:29:38.122500	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-05_sbref.nii.gz
01	01	bold	6	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-06_bold.nii.gz		16:10:27.732500	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-06_sbref.nii.gz
01	01	bold	7	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-07_bold.nii.gz		16:28:46.072500	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-07_sbref.nii.gz
01	01	bold	8	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-08_bold.nii.gz		16:35:30.555000	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-08_sbref.nii.gz
01	01	bold	9	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-09_bold.nii.gz		16:41:34.132500	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-09_sbref.nii.gz
01	01	bold	10	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-10_bold.nii.gz		16:47:48.112500	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-10_sbref.nii.gz
01	01	bold	1	retCB			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-retCB_run-01_bold.nii.gz		14:55:40.320000	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-retCB_run-01_sbref.nii.gz
01	01	bold	2	retCB			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-retCB_run-02_bold.nii.gz		15:56:51.692500	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-retCB_run-02_sbref.nii.gz
01	01	bold	1	retFF			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-retFF_run-01_bold.nii.gz		14:48:57.765000	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-retFF_run-01_sbref.nii.gz
01	01	bold	2	retFF			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-retFF_run-02_bold.nii.gz		15:48:27.330000	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-retFF_run-02_sbref.nii
01	01	bold	1	retRW			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-retRW_run-01_bold.nii.gz		14:41:52.310000	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-retRW_run-01_sbref.nii.gz
01	01	bold	2	retRW			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-retRW_run-02_bold.nii.gz		15:41:15.162500	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-retRW_run-02_sbref.nii.gz
01	01	sbref	1	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-01_sbref.nii.gz		14:04:15.487500	
01	01	sbref	2	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-02_sbref.nii.gz		14:10:29.665000	
01	01	sbref	3	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-03_sbref.nii.gz		14:16:33.195000	
01	01	sbref	4	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-04_sbref.nii.gz		14:23:22.635000	
01	01	sbref	5	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-05_sbref.nii.gz		14:29:24.122500	
01	01	sbref	6	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-06_sbref.nii.gz		16:10:13.732500	
01	01	sbref	7	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-07_sbref.nii.gz		16:28:32.072500	
01	01	sbref	8	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-08_sbref.nii.gz		16:35:16.555000	
01	01	sbref	9	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-09_sbref.nii.gz		16:41:20.132500	
01	01	sbref	10	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-fLoc_run-10_sbref.nii.gz		16:47:34.112500	
